"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Search and view product on Target","2","0","","0"
"0","","0","The youtube Website","4","0","","0"
"0","","0","Testim Application","4","0","","0"
"0","","0","Booking.com Website Test","1","0","","0"
